index,City,Date,Card Type,Exp Type,Gender,Amount,Country,Month,Day
7628,Delhi,2014-03-24,Silver,Fuel,Male,214575, India,March,Monday
7629,Ahmedabad,2014-11-27,Platinum,Fuel,Female,63175, India,November,Thursday
7630,Greater Mumbai,2014-11-04,Silver,Entertainment,Female,235910, India,November,Tuesday
7631,Bengaluru,2014-09-02,Gold,Fuel,Female,296447, India,September,Tuesday
7632,Bengaluru,2015-04-17,Platinum,Entertainment,Male,212377, India,April,Friday
7633,Bengaluru,2014-05-30,Signature,Food,Female,253460, India,May,Friday
7634,Delhi,2014-07-12,Silver,Food,Male,115328, India,July,Saturday
7635,Delhi,2014-08-28,Gold,Entertainment,Male,244240, India,August,Thursday
7636,Ahmedabad,2014-05-20,Signature,Fuel,Female,219960, India,May,Tuesday
7637,Bengaluru,2014-01-11,Signature,Food,Female,103810, India,January,Saturday
7638,Ahmedabad,2014-01-24,Platinum,Food,Female,140070, India,January,Friday
7639,Greater Mumbai,2014-11-22,Signature,Fuel,Male,295265, India,November,Saturday
7640,Delhi,2014-08-28,Gold,Bills,Female,184528, India,August,Thursday
7641,Bengaluru,2013-11-10,Gold,Food,Male,114265, India,November,Sunday
7642,Delhi,2014-05-27,Signature,Bills,Male,19175, India,May,Tuesday
7643,Bengaluru,2015-02-06,Platinum,Entertainment,Female,122164, India,February,Friday
7644,Greater Mumbai,2013-10-27,Gold,Food,Female,146404, India,October,Sunday
7645,Delhi,2015-05-06,Gold,Food,Male,75768, India,May,Wednesday
7646,Delhi,2014-01-14,Platinum,Fuel,Female,298597, India,January,Tuesday
7647,Ahmedabad,2013-12-29,Platinum,Food,Male,244837, India,December,Sunday
7648,Delhi,2015-04-22,Signature,Food,Female,131118, India,April,Wednesday
7649,Bengaluru,2014-02-04,Silver,Food,Female,130867, India,February,Tuesday
7650,Delhi,2014-08-11,Gold,Fuel,Male,38820, India,August,Monday
7651,Ahmedabad,2014-05-14,Signature,Entertainment,Female,285203, India,May,Wednesday
7652,Bengaluru,2014-12-26,Gold,Bills,Male,157371, India,December,Friday
7653,Greater Mumbai,2014-08-05,Silver,Fuel,Male,28042, India,August,Tuesday
7654,Greater Mumbai,2014-08-22,Gold,Fuel,Female,76143, India,August,Friday
7655,Delhi,2015-02-05,Silver,Grocery,Female,110066, India,February,Thursday
7656,Delhi,2014-09-18,Signature,Fuel,Male,289118, India,September,Thursday
7657,Ahmedabad,2013-11-05,Platinum,Entertainment,Female,61664, India,November,Tuesday
7658,Greater Mumbai,2014-08-03,Silver,Bills,Female,252984, India,August,Sunday
7659,Ahmedabad,2013-12-14,Silver,Grocery,Male,148261, India,December,Saturday
7660,Greater Mumbai,2014-11-02,Silver,Fuel,Female,117604, India,November,Sunday
7661,Delhi,2015-04-24,Gold,Bills,Male,38652, India,April,Friday
7662,Ahmedabad,2014-03-29,Silver,Entertainment,Female,190809, India,March,Saturday
7663,Greater Mumbai,2013-12-05,Silver,Entertainment,Female,117151, India,December,Thursday
7664,Ahmedabad,2014-11-09,Signature,Entertainment,Male,243888, India,November,Sunday
7665,Ahmedabad,2014-02-11,Silver,Entertainment,Male,268356, India,February,Tuesday
7666,Bengaluru,2014-02-25,Signature,Bills,Male,162752, India,February,Tuesday
7667,Greater Mumbai,2013-12-17,Platinum,Fuel,Male,206887, India,December,Tuesday
7668,Greater Mumbai,2014-08-01,Platinum,Fuel,Female,14495, India,August,Friday
7669,Delhi,2014-08-22,Gold,Fuel,Female,147237, India,August,Friday
7670,Bengaluru,2014-06-01,Platinum,Bills,Male,14814, India,June,Sunday
7671,Greater Mumbai,2014-08-11,Silver,Food,Male,128367, India,August,Monday
7672,Ahmedabad,2014-07-22,Platinum,Bills,Male,53330, India,July,Tuesday
7673,Ahmedabad,2014-11-29,Silver,Bills,Female,11870, India,November,Saturday
7674,Delhi,2014-08-02,Silver,Entertainment,Male,151449, India,August,Saturday
7675,Delhi,2014-01-30,Platinum,Grocery,Female,255675, India,January,Thursday
7676,Delhi,2015-04-28,Silver,Food,Male,252120, India,April,Tuesday
7677,Bengaluru,2015-05-18,Gold,Fuel,Female,116470, India,May,Monday
7678,Greater Mumbai,2014-06-10,Gold,Food,Male,253108, India,June,Tuesday
7679,Ahmedabad,2014-01-13,Gold,Grocery,Female,272053, India,January,Monday
7680,Greater Mumbai,2014-01-20,Silver,Fuel,Male,275535, India,January,Monday
7681,Delhi,2014-02-26,Platinum,Grocery,Female,246888, India,February,Wednesday
7682,Bengaluru,2014-05-06,Gold,Food,Female,31318, India,May,Tuesday
7683,Greater Mumbai,2014-07-23,Silver,Fuel,Male,252206, India,July,Wednesday
7684,Bengaluru,2013-11-15,Signature,Food,Male,84608, India,November,Friday
7685,Greater Mumbai,2013-10-11,Platinum,Food,Male,151924, India,October,Friday
7686,Ahmedabad,2013-10-09,Signature,Grocery,Male,93385, India,October,Wednesday
7687,Delhi,2014-03-11,Platinum,Fuel,Female,276356, India,March,Tuesday
7688,Delhi,2014-06-26,Signature,Food,Female,146571, India,June,Thursday
7689,Ahmedabad,2014-11-03,Gold,Bills,Male,177090, India,November,Monday
7690,Ahmedabad,2014-12-20,Gold,Entertainment,Male,113599, India,December,Saturday
7691,Bengaluru,2014-10-18,Gold,Bills,Female,58587, India,October,Saturday
7692,Bengaluru,2014-11-25,Signature,Fuel,Male,202527, India,November,Tuesday
7693,Greater Mumbai,2015-01-30,Signature,Entertainment,Female,131361, India,January,Friday
7694,Ahmedabad,2014-11-14,Signature,Food,Female,253276, India,November,Friday
7695,Bengaluru,2014-04-15,Platinum,Entertainment,Female,295845, India,April,Tuesday
7696,Bengaluru,2014-01-16,Gold,Bills,Female,37803, India,January,Thursday
7697,Ahmedabad,2014-12-17,Silver,Bills,Male,112950, India,December,Wednesday
7698,Delhi,2014-11-23,Signature,Food,Male,25264, India,November,Sunday
7699,Greater Mumbai,2013-11-10,Signature,Food,Male,81671, India,November,Sunday
7700,Greater Mumbai,2015-04-15,Platinum,Grocery,Male,22725, India,April,Wednesday
7701,Bengaluru,2015-02-07,Platinum,Fuel,Male,6285, India,February,Saturday
7702,Delhi,2013-11-24,Gold,Fuel,Female,103696, India,November,Sunday
7703,Bengaluru,2014-01-29,Silver,Bills,Male,294926, India,January,Wednesday
7704,Bengaluru,2014-06-21,Silver,Fuel,Male,77291, India,June,Saturday
7705,Delhi,2013-11-24,Signature,Grocery,Female,136922, India,November,Sunday
7706,Bengaluru,2013-10-15,Silver,Bills,Male,91980, India,October,Tuesday
7707,Delhi,2014-08-13,Platinum,Bills,Male,181190, India,August,Wednesday
7708,Bengaluru,2014-05-05,Gold,Entertainment,Male,94431, India,May,Monday
7709,Greater Mumbai,2015-05-19,Platinum,Entertainment,Female,193669, India,May,Tuesday
7710,Ahmedabad,2014-10-14,Silver,Bills,Female,121343, India,October,Tuesday
7711,Greater Mumbai,2014-01-07,Silver,Entertainment,Female,246904, India,January,Tuesday
7712,Ahmedabad,2014-11-15,Signature,Grocery,Female,287158, India,November,Saturday
7713,Ahmedabad,2014-05-15,Gold,Grocery,Male,75294, India,May,Thursday
7714,Delhi,2014-06-08,Signature,Grocery,Female,151144, India,June,Sunday
7715,Bengaluru,2014-01-17,Silver,Bills,Female,146984, India,January,Friday
7716,Ahmedabad,2014-03-19,Platinum,Fuel,Male,58763, India,March,Wednesday
7717,Ahmedabad,2014-03-23,Platinum,Bills,Male,32644, India,March,Sunday
7718,Greater Mumbai,2015-05-14,Signature,Bills,Female,68050, India,May,Thursday
7719,Delhi,2014-09-30,Silver,Entertainment,Female,44013, India,September,Tuesday
7720,Delhi,2013-11-16,Gold,Food,Female,176707, India,November,Saturday
7721,Ahmedabad,2014-10-12,Gold,Grocery,Female,176405, India,October,Sunday
7722,Greater Mumbai,2014-04-16,Platinum,Grocery,Male,110330, India,April,Wednesday
7723,Delhi,2014-06-15,Silver,Food,Female,126545, India,June,Sunday
7724,Greater Mumbai,2014-04-03,Gold,Grocery,Female,271513, India,April,Thursday
7725,Greater Mumbai,2013-10-13,Gold,Grocery,Male,174136, India,October,Sunday
7726,Ahmedabad,2014-02-16,Platinum,Food,Female,169270, India,February,Sunday
7727,Delhi,2014-09-23,Signature,Fuel,Female,141559, India,September,Tuesday
7728,Delhi,2014-07-14,Signature,Bills,Male,265150, India,July,Monday
7729,Bengaluru,2014-10-16,Platinum,Entertainment,Male,281875, India,October,Thursday
7730,Delhi,2013-12-16,Signature,Bills,Male,153714, India,December,Monday
7731,Delhi,2014-05-31,Gold,Food,Male,46829, India,May,Saturday
7732,Ahmedabad,2013-11-15,Silver,Entertainment,Female,95725, India,November,Friday
7733,Ahmedabad,2013-12-10,Platinum,Bills,Male,163864, India,December,Tuesday
7734,Ahmedabad,2014-06-10,Silver,Entertainment,Female,83353, India,June,Tuesday
7735,Bengaluru,2015-02-14,Platinum,Fuel,Male,186989, India,February,Saturday
7736,Delhi,2014-07-28,Platinum,Food,Female,111465, India,July,Monday
7737,Bengaluru,2014-09-30,Platinum,Food,Male,69593, India,September,Tuesday
7738,Ahmedabad,2015-05-18,Signature,Grocery,Male,159330, India,May,Monday
7739,Bengaluru,2014-12-23,Gold,Fuel,Male,148168, India,December,Tuesday
7740,Greater Mumbai,2014-08-19,Silver,Entertainment,Male,50586, India,August,Tuesday
7741,Bengaluru,2015-04-19,Signature,Entertainment,Female,175365, India,April,Sunday
7742,Greater Mumbai,2014-04-14,Signature,Fuel,Female,143519, India,April,Monday
7743,Ahmedabad,2015-02-02,Platinum,Fuel,Male,187508, India,February,Monday
7744,Bengaluru,2015-03-18,Gold,Food,Male,130147, India,March,Wednesday
7745,Ahmedabad,2015-01-27,Platinum,Fuel,Male,196205, India,January,Tuesday
7746,Ahmedabad,2014-04-20,Platinum,Fuel,Male,111748, India,April,Sunday
7747,Ahmedabad,2015-04-17,Platinum,Bills,Female,151844, India,April,Friday
7748,Bengaluru,2015-05-21,Signature,Fuel,Male,51810, India,May,Thursday
7749,Greater Mumbai,2013-10-04,Platinum,Entertainment,Male,295639, India,October,Friday
7750,Bengaluru,2014-08-27,Signature,Fuel,Male,186457, India,August,Wednesday
7751,Greater Mumbai,2015-02-10,Platinum,Grocery,Female,215253, India,February,Tuesday
7752,Ahmedabad,2014-10-07,Silver,Fuel,Female,283914, India,October,Tuesday
7753,Bengaluru,2014-09-04,Platinum,Fuel,Male,286418, India,September,Thursday
7754,Bengaluru,2014-11-29,Platinum,Fuel,Male,33573, India,November,Saturday
7755,Ahmedabad,2014-11-10,Signature,Food,Female,134032, India,November,Monday
7756,Bengaluru,2014-12-07,Gold,Bills,Female,281439, India,December,Sunday
7757,Bengaluru,2014-11-03,Gold,Bills,Female,107976, India,November,Monday
7758,Delhi,2013-12-25,Gold,Bills,Female,203787, India,December,Wednesday
7759,Bengaluru,2014-07-05,Signature,Grocery,Male,179180, India,July,Saturday
7760,Ahmedabad,2014-09-20,Silver,Bills,Female,221603, India,September,Saturday
7761,Bengaluru,2014-03-30,Silver,Grocery,Male,116766, India,March,Sunday
7762,Greater Mumbai,2015-01-15,Platinum,Food,Female,73878, India,January,Thursday
7763,Greater Mumbai,2015-02-10,Gold,Grocery,Female,17578, India,February,Tuesday
7764,Ahmedabad,2014-01-17,Gold,Food,Male,290112, India,January,Friday
7765,Ahmedabad,2014-08-30,Silver,Entertainment,Male,226435, India,August,Saturday
7766,Delhi,2013-10-29,Gold,Bills,Female,273658, India,October,Tuesday
7767,Ahmedabad,2014-10-23,Signature,Fuel,Male,129449, India,October,Thursday
7768,Ahmedabad,2015-03-24,Gold,Entertainment,Male,19473, India,March,Tuesday
7769,Bengaluru,2015-01-12,Signature,Bills,Female,143125, India,January,Monday
7770,Greater Mumbai,2013-11-13,Gold,Entertainment,Female,192450, India,November,Wednesday
7771,Ahmedabad,2014-05-01,Platinum,Fuel,Male,232742, India,May,Thursday
7772,Delhi,2015-04-18,Silver,Food,Male,294231, India,April,Saturday
7773,Greater Mumbai,2014-10-04,Silver,Food,Female,266539, India,October,Saturday
7774,Delhi,2013-12-04,Signature,Entertainment,Male,275288, India,December,Wednesday
7775,Ahmedabad,2013-12-29,Platinum,Grocery,Female,268611, India,December,Sunday
7776,Greater Mumbai,2014-06-22,Signature,Food,Female,73604, India,June,Sunday
7777,Bengaluru,2015-01-14,Signature,Fuel,Male,198707, India,January,Wednesday
7778,Bengaluru,2014-08-07,Platinum,Food,Female,39075, India,August,Thursday
7779,Greater Mumbai,2014-01-09,Platinum,Grocery,Female,234246, India,January,Thursday
7780,Bengaluru,2014-09-26,Signature,Bills,Female,124726, India,September,Friday
7781,Bengaluru,2014-02-11,Signature,Grocery,Female,164303, India,February,Tuesday
7782,Greater Mumbai,2013-11-09,Signature,Entertainment,Male,156433, India,November,Saturday
7783,Delhi,2014-09-19,Silver,Fuel,Female,191756, India,September,Friday
7784,Delhi,2015-03-01,Platinum,Food,Male,65147, India,March,Sunday
7785,Ahmedabad,2015-02-28,Silver,Entertainment,Male,296737, India,February,Saturday
7786,Delhi,2015-04-03,Signature,Bills,Female,173543, India,April,Friday
7787,Ahmedabad,2013-11-27,Signature,Grocery,Male,43334, India,November,Wednesday
7788,Greater Mumbai,2014-10-03,Signature,Food,Female,34696, India,October,Friday
7789,Bengaluru,2014-01-01,Signature,Bills,Female,292221, India,January,Wednesday
7790,Greater Mumbai,2014-06-07,Platinum,Fuel,Male,91021, India,June,Saturday
7791,Ahmedabad,2015-02-17,Signature,Entertainment,Male,187342, India,February,Tuesday
7792,Bengaluru,2013-12-13,Silver,Food,Female,39486, India,December,Friday
7793,Greater Mumbai,2014-08-08,Signature,Grocery,Male,30686, India,August,Friday
7794,Ahmedabad,2014-08-24,Silver,Fuel,Male,237964, India,August,Sunday
7795,Greater Mumbai,2013-11-30,Platinum,Fuel,Male,248460, India,November,Saturday
7796,Bengaluru,2014-04-15,Signature,Grocery,Female,189486, India,April,Tuesday
7797,Delhi,2014-05-13,Signature,Food,Female,184768, India,May,Tuesday
7798,Ahmedabad,2014-05-28,Signature,Bills,Female,16394, India,May,Wednesday
7799,Ahmedabad,2014-04-27,Gold,Food,Male,14645, India,April,Sunday
7800,Delhi,2015-04-25,Gold,Entertainment,Male,169231, India,April,Saturday
7801,Ahmedabad,2014-02-28,Signature,Food,Female,39204, India,February,Friday
7802,Greater Mumbai,2014-07-16,Signature,Fuel,Female,65035, India,July,Wednesday
7803,Greater Mumbai,2014-04-17,Gold,Fuel,Male,26213, India,April,Thursday
7804,Bengaluru,2013-10-05,Silver,Food,Female,164024, India,October,Saturday
7805,Ahmedabad,2014-09-02,Signature,Entertainment,Female,261705, India,September,Tuesday
7806,Ahmedabad,2014-11-02,Signature,Food,Female,129323, India,November,Sunday
7807,Bengaluru,2014-10-22,Silver,Grocery,Male,279439, India,October,Wednesday
7808,Bengaluru,2014-07-29,Signature,Entertainment,Male,191572, India,July,Tuesday
7809,Delhi,2014-07-26,Signature,Food,Male,131386, India,July,Saturday
7810,Greater Mumbai,2014-08-21,Silver,Entertainment,Female,60078, India,August,Thursday
7811,Ahmedabad,2014-10-07,Silver,Bills,Female,217636, India,October,Tuesday
7812,Ahmedabad,2014-03-09,Signature,Grocery,Male,199557, India,March,Sunday
7813,Greater Mumbai,2014-12-11,Silver,Bills,Male,283851, India,December,Thursday
7814,Bengaluru,2015-04-20,Signature,Grocery,Male,78557, India,April,Monday
7815,Ahmedabad,2014-06-13,Silver,Entertainment,Male,18665, India,June,Friday
7816,Delhi,2013-11-21,Gold,Fuel,Male,230357, India,November,Thursday
7817,Bengaluru,2014-09-28,Platinum,Grocery,Female,258617, India,September,Sunday
7818,Ahmedabad,2015-01-06,Gold,Bills,Female,206268, India,January,Tuesday
7819,Ahmedabad,2014-08-31,Signature,Grocery,Female,85984, India,August,Sunday
7820,Ahmedabad,2013-12-29,Gold,Bills,Female,82655, India,December,Sunday
7821,Ahmedabad,2014-12-23,Gold,Grocery,Male,162473, India,December,Tuesday
7822,Ahmedabad,2013-10-06,Silver,Entertainment,Female,1938, India,October,Sunday
7823,Delhi,2014-04-20,Signature,Bills,Female,211535, India,April,Sunday
7824,Ahmedabad,2014-08-21,Gold,Grocery,Female,277137, India,August,Thursday
7825,Bengaluru,2015-01-21,Platinum,Entertainment,Male,15136, India,January,Wednesday
7826,Ahmedabad,2015-01-23,Signature,Entertainment,Female,284528, India,January,Friday
7827,Ahmedabad,2015-05-15,Silver,Bills,Female,191817, India,May,Friday
7828,Greater Mumbai,2013-12-22,Silver,Entertainment,Male,176929, India,December,Sunday
7829,Delhi,2015-02-12,Silver,Bills,Male,231971, India,February,Thursday
7830,Greater Mumbai,2014-01-26,Gold,Entertainment,Male,286385, India,January,Sunday
7831,Delhi,2014-07-11,Signature,Food,Female,132757, India,July,Friday
7832,Bengaluru,2014-08-06,Signature,Fuel,Male,217417, India,August,Wednesday
7833,Bengaluru,2013-11-16,Gold,Grocery,Male,162688, India,November,Saturday
7834,Ahmedabad,2014-12-14,Gold,Entertainment,Female,159930, India,December,Sunday
7835,Delhi,2013-11-12,Gold,Entertainment,Male,155703, India,November,Tuesday
7836,Ahmedabad,2014-12-29,Gold,Entertainment,Male,138865, India,December,Monday
7837,Ahmedabad,2013-11-17,Platinum,Fuel,Male,104815, India,November,Sunday
7838,Greater Mumbai,2014-12-05,Signature,Food,Male,101544, India,December,Friday
7839,Greater Mumbai,2013-12-07,Silver,Entertainment,Male,30889, India,December,Saturday
7840,Bengaluru,2014-05-24,Platinum,Grocery,Male,283566, India,May,Saturday
7841,Delhi,2014-09-10,Platinum,Fuel,Female,280703, India,September,Wednesday
7842,Ahmedabad,2014-12-22,Silver,Fuel,Female,293435, India,December,Monday
7843,Ahmedabad,2014-01-12,Platinum,Food,Male,22783, India,January,Sunday
7844,Delhi,2015-03-25,Signature,Bills,Male,78257, India,March,Wednesday
7845,Greater Mumbai,2013-10-07,Platinum,Food,Male,242693, India,October,Monday
7846,Ahmedabad,2015-02-15,Platinum,Fuel,Female,15561, India,February,Sunday
7847,Bengaluru,2015-04-29,Silver,Fuel,Female,6278, India,April,Wednesday
7848,Greater Mumbai,2014-04-11,Gold,Entertainment,Female,225819, India,April,Friday
7849,Delhi,2014-08-10,Platinum,Food,Female,151970, India,August,Sunday
7850,Bengaluru,2014-10-21,Silver,Food,Female,207032, India,October,Tuesday
7851,Delhi,2013-11-25,Silver,Entertainment,Female,58015, India,November,Monday
7852,Delhi,2015-03-12,Silver,Entertainment,Male,246931, India,March,Thursday
7853,Ahmedabad,2015-04-24,Signature,Fuel,Female,163232, India,April,Friday
7854,Delhi,2015-02-27,Gold,Grocery,Female,7069, India,February,Friday
7855,Greater Mumbai,2014-06-16,Silver,Food,Male,65788, India,June,Monday
7856,Ahmedabad,2014-06-12,Platinum,Bills,Female,66705, India,June,Thursday
7857,Bengaluru,2014-10-14,Platinum,Fuel,Male,149820, India,October,Tuesday
7858,Bengaluru,2014-01-01,Silver,Bills,Male,258061, India,January,Wednesday
7859,Bengaluru,2014-10-19,Silver,Entertainment,Female,170718, India,October,Sunday
7860,Greater Mumbai,2015-02-09,Silver,Bills,Male,16235, India,February,Monday
7861,Ahmedabad,2013-10-24,Silver,Bills,Male,79956, India,October,Thursday
7862,Bengaluru,2015-05-01,Gold,Food,Female,231618, India,May,Friday
7863,Greater Mumbai,2013-11-18,Gold,Food,Female,298729, India,November,Monday
7864,Greater Mumbai,2014-08-24,Gold,Bills,Male,30451, India,August,Sunday
7865,Delhi,2014-12-18,Platinum,Entertainment,Male,294666, India,December,Thursday
7866,Delhi,2014-11-15,Gold,Grocery,Male,154170, India,November,Saturday
7867,Ahmedabad,2013-10-31,Gold,Fuel,Male,20076, India,October,Thursday
7868,Ahmedabad,2015-02-19,Gold,Entertainment,Male,161749, India,February,Thursday
7869,Bengaluru,2014-09-27,Silver,Fuel,Male,19691, India,September,Saturday
7870,Delhi,2014-09-17,Silver,Fuel,Male,162127, India,September,Wednesday
7871,Bengaluru,2014-02-17,Gold,Bills,Male,132887, India,February,Monday
7872,Ahmedabad,2014-02-22,Gold,Bills,Male,271027, India,February,Saturday
7873,Bengaluru,2015-01-18,Platinum,Grocery,Male,219106, India,January,Sunday
7874,Bengaluru,2015-03-08,Platinum,Entertainment,Female,8394, India,March,Sunday
7875,Delhi,2015-05-18,Silver,Bills,Male,87461, India,May,Monday
7876,Delhi,2015-02-16,Signature,Fuel,Female,245749, India,February,Monday
7877,Bengaluru,2015-05-07,Gold,Entertainment,Male,137347, India,May,Thursday
7878,Ahmedabad,2014-09-08,Silver,Bills,Female,279580, India,September,Monday
7879,Bengaluru,2014-07-29,Silver,Grocery,Male,189502, India,July,Tuesday
7880,Delhi,2014-01-29,Signature,Bills,Male,148441, India,January,Wednesday
7881,Ahmedabad,2014-11-28,Gold,Entertainment,Female,297182, India,November,Friday
7882,Greater Mumbai,2014-02-11,Gold,Entertainment,Female,58427, India,February,Tuesday
7883,Delhi,2015-04-16,Gold,Grocery,Female,98797, India,April,Thursday
7884,Ahmedabad,2015-02-03,Platinum,Grocery,Female,190826, India,February,Tuesday
7885,Bengaluru,2015-05-08,Signature,Food,Male,212628, India,May,Friday
7886,Greater Mumbai,2013-11-19,Gold,Food,Male,134775, India,November,Tuesday
7887,Ahmedabad,2015-03-18,Platinum,Entertainment,Female,103330, India,March,Wednesday
7888,Bengaluru,2014-07-31,Signature,Food,Female,66859, India,July,Thursday
7889,Ahmedabad,2014-04-27,Signature,Food,Male,35151, India,April,Sunday
7890,Delhi,2014-12-31,Silver,Entertainment,Female,99915, India,December,Wednesday
7891,Ahmedabad,2015-05-26,Platinum,Grocery,Female,269998, India,May,Tuesday
7892,Bengaluru,2015-04-28,Platinum,Grocery,Female,219796, India,April,Tuesday
7893,Delhi,2015-04-12,Silver,Fuel,Female,83226, India,April,Sunday
7894,Bengaluru,2014-04-28,Gold,Fuel,Female,230570, India,April,Monday
7895,Ahmedabad,2015-04-12,Signature,Entertainment,Male,228458, India,April,Sunday
7896,Ahmedabad,2014-04-29,Platinum,Entertainment,Female,187232, India,April,Tuesday
7897,Ahmedabad,2014-01-15,Silver,Grocery,Male,293642, India,January,Wednesday
7898,Ahmedabad,2014-04-28,Platinum,Fuel,Male,249824, India,April,Monday
7899,Ahmedabad,2013-11-27,Gold,Fuel,Male,138697, India,November,Wednesday
7900,Delhi,2014-09-19,Gold,Bills,Female,91520, India,September,Friday
7901,Greater Mumbai,2015-01-07,Platinum,Bills,Female,39556, India,January,Wednesday
7902,Ahmedabad,2014-10-04,Signature,Food,Female,105558, India,October,Saturday
7903,Ahmedabad,2015-01-16,Gold,Bills,Female,13401, India,January,Friday
7904,Greater Mumbai,2014-02-18,Platinum,Entertainment,Female,139901, India,February,Tuesday
7905,Greater Mumbai,2014-05-10,Silver,Food,Female,262727, India,May,Saturday
7906,Bengaluru,2013-12-26,Silver,Fuel,Male,271215, India,December,Thursday
7907,Delhi,2014-09-25,Platinum,Entertainment,Female,132858, India,September,Thursday
7908,Delhi,2014-09-11,Gold,Fuel,Female,212016, India,September,Thursday
7909,Bengaluru,2014-05-02,Signature,Fuel,Male,15537, India,May,Friday
7910,Bengaluru,2014-06-20,Gold,Entertainment,Female,147881, India,June,Friday
7911,Bengaluru,2015-03-04,Platinum,Bills,Female,36200, India,March,Wednesday
7912,Bengaluru,2014-12-06,Silver,Fuel,Male,106766, India,December,Saturday
7913,Delhi,2013-12-09,Silver,Bills,Female,110981, India,December,Monday
7914,Ahmedabad,2013-12-31,Silver,Grocery,Female,188051, India,December,Tuesday
7915,Ahmedabad,2014-08-06,Signature,Bills,Male,138989, India,August,Wednesday
7916,Bengaluru,2014-01-05,Gold,Grocery,Male,25082, India,January,Sunday
7917,Bengaluru,2014-07-28,Signature,Entertainment,Male,103275, India,July,Monday
7918,Bengaluru,2014-06-29,Signature,Bills,Female,69709, India,June,Sunday
7919,Bengaluru,2014-10-28,Signature,Bills,Male,126488, India,October,Tuesday
7920,Ahmedabad,2014-11-24,Gold,Fuel,Female,112856, India,November,Monday
7921,Ahmedabad,2014-09-16,Silver,Food,Female,129597, India,September,Tuesday
7922,Greater Mumbai,2014-09-03,Silver,Entertainment,Female,57277, India,September,Wednesday
7923,Delhi,2015-01-28,Platinum,Fuel,Female,112860, India,January,Wednesday
7924,Bengaluru,2014-02-10,Platinum,Entertainment,Female,200035, India,February,Monday
7925,Greater Mumbai,2015-01-14,Signature,Bills,Male,200120, India,January,Wednesday
7926,Ahmedabad,2013-12-02,Signature,Grocery,Female,285628, India,December,Monday
7927,Ahmedabad,2014-02-27,Silver,Entertainment,Female,295738, India,February,Thursday
7928,Greater Mumbai,2015-02-27,Silver,Fuel,Female,177795, India,February,Friday
7929,Greater Mumbai,2014-11-20,Silver,Fuel,Male,275491, India,November,Thursday
7930,Greater Mumbai,2014-11-18,Signature,Food,Male,179964, India,November,Tuesday
7931,Ahmedabad,2014-10-07,Silver,Fuel,Female,201427, India,October,Tuesday
7932,Greater Mumbai,2014-07-22,Signature,Bills,Female,85430, India,July,Tuesday
7933,Greater Mumbai,2014-07-29,Silver,Entertainment,Female,246237, India,July,Tuesday
7934,Delhi,2014-04-03,Silver,Bills,Male,89084, India,April,Thursday
7935,Bengaluru,2014-03-27,Silver,Entertainment,Male,273153, India,March,Thursday
7936,Ahmedabad,2013-11-17,Silver,Entertainment,Male,121056, India,November,Sunday
7937,Bengaluru,2014-11-27,Gold,Fuel,Female,272057, India,November,Thursday
7938,Bengaluru,2015-01-21,Platinum,Bills,Female,89962, India,January,Wednesday
7939,Ahmedabad,2015-04-30,Silver,Entertainment,Female,262464, India,April,Thursday
7940,Delhi,2014-12-11,Platinum,Bills,Male,137710, India,December,Thursday
7941,Greater Mumbai,2014-03-25,Gold,Bills,Male,145463, India,March,Tuesday
7942,Bengaluru,2014-10-19,Silver,Grocery,Male,194546, India,October,Sunday
7943,Greater Mumbai,2014-09-09,Platinum,Entertainment,Male,202911, India,September,Tuesday
7944,Delhi,2014-09-15,Gold,Grocery,Male,41617, India,September,Monday
7945,Ahmedabad,2015-05-12,Gold,Fuel,Male,216036, India,May,Tuesday
7946,Delhi,2014-05-06,Signature,Grocery,Female,172224, India,May,Tuesday
7947,Bengaluru,2015-04-27,Gold,Fuel,Female,78954, India,April,Monday
7948,Bengaluru,2014-01-27,Platinum,Bills,Male,129514, India,January,Monday
7949,Greater Mumbai,2014-09-02,Gold,Bills,Male,12968, India,September,Tuesday
7950,Greater Mumbai,2014-06-29,Signature,Entertainment,Male,158636, India,June,Sunday
7951,Ahmedabad,2014-03-05,Gold,Fuel,Male,240719, India,March,Wednesday
7952,Bengaluru,2014-09-10,Gold,Entertainment,Male,284590, India,September,Wednesday
7953,Ahmedabad,2014-09-19,Platinum,Entertainment,Female,247002, India,September,Friday
7954,Bengaluru,2013-12-05,Gold,Food,Female,130322, India,December,Thursday
7955,Ahmedabad,2015-05-25,Signature,Fuel,Male,69945, India,May,Monday
7956,Bengaluru,2014-01-09,Platinum,Food,Female,163356, India,January,Thursday
7957,Delhi,2013-11-17,Silver,Entertainment,Male,158005, India,November,Sunday
7958,Bengaluru,2013-11-29,Gold,Entertainment,Male,235081, India,November,Friday
7959,Delhi,2015-04-21,Gold,Bills,Female,231738, India,April,Tuesday
7960,Bengaluru,2014-06-02,Gold,Entertainment,Male,64106, India,June,Monday
7961,Bengaluru,2014-01-05,Platinum,Bills,Male,232027, India,January,Sunday
7962,Bengaluru,2015-05-12,Signature,Fuel,Female,197481, India,May,Tuesday
7963,Bengaluru,2015-05-05,Silver,Grocery,Male,48117, India,May,Tuesday
7964,Greater Mumbai,2014-03-22,Silver,Entertainment,Female,268194, India,March,Saturday
7965,Ahmedabad,2014-11-18,Gold,Fuel,Male,79677, India,November,Tuesday
